ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly
10.30.197.149,1,4065.0,0.0,Normal
10.35.252.211,1,5367.0,0.0,Anomaly
10.41.82.254,1,4065.0,22.0,Normal
10.47.55.128,1,3825.0,18.0,Normal
10.47.62.178,1,4068.0,14.0,Normal
10.54.59.111,1,3537.0,23.0,Normal
10.70.189.152,1,3941.0,18.0,Normal
10.75.201.206,1,4080.0,14.0,Normal
10.84.188.36,1,3990.0,12.0,Normal
10.86.51.192,1,3776.0,11.0,Normal
10.90.248.208,1,4045.0,14.0,Normal
10.97.26.56,1,4151.0,22.0,Normal
100.0.220.153,1,3095.0,23.0,Normal
100.1.107.177,1,3894.0,13.0,Normal
100.11.76.209,1,3404.0,12.0,Normal
100.12.82.234,1,2801.0,7.0,Normal
100.135.91.131,1,3022.0,17.0,Normal
100.137.247.235,1,4059.0,5.0,Normal
100.139.158.98,1,2805.0,20.0,Normal
100.151.116.27,1,3942.0,17.0,Normal
100.152.68.184,1,4188.0,12.0,Normal
100.157.201.205,1,4100.0,1.0,Normal
100.159.241.239,1,3293.0,5.0,Normal
100.160.163.176,1,4289.0,13.0,Normal
100.168.183.161,1,3914.0,20.0,Normal
100.17.164.46,1,4105.0,22.0,Normal
100.176.229.104,1,4050.0,9.0,Normal
100.178.204.46,1,4038.0,19.0,Normal
100.180.145.182,1,4065.0,21.0,Normal
100.188.98.246,1,5858.0,3.0,Anomaly
100.20.93.0,1,3757.0,2.0,Normal
100.200.154.41,1,3465.0,13.0,Normal
100.213.143.238,1,3454.0,21.0,Normal
100.226.191.168,2,13550.0,19.5,Anomaly
100.23.203.19,1,3915.0,18.0,Normal
100.236.74.33,1,2803.0,10.0,Normal
100.251.198.66,1,4109.0,19.0,Normal
100.29.57.59,1,3515.0,21.0,Normal
100.38.231.221,1,4027.0,22.0,Normal
100.40.182.216,1,2808.0,13.0,Normal
100.45.176.128,1,4257.0,9.0,Normal
100.45.50.44,1,2779.0,15.0,Normal
100.53.161.19,1,3482.0,1.0,Normal
100.58.131.54,1,3387.0,13.0,Normal
100.60.42.54,1,2787.0,18.0,Normal
1008:4560:4826:3fc0:37f0:352f:b323:3fa9,1,5094.0,4.0,Normal
101.109.136.79,1,2806.0,10.0,Normal
101.109.221.64,1,4070.0,23.0,Normal
101.109.78.153,1,3443.0,22.0,Normal
101.110.9.143,1,3434.0,0.0,Normal
101.114.53.149,1,4021.0,18.0,Normal
101.117.140.98,1,2738.0,10.0,Normal
101.124.49.140,1,2789.0,14.0,Normal
101.139.247.72,1,5073.0,21.0,Normal
101.14.228.53,1,4148.0,21.0,Normal
101.147.71.85,1,4093.0,22.0,Normal
101.150.250.207,1,6430.0,12.0,Normal
101.150.76.44,1,4045.0,12.0,Normal
101.16.15.153,1,4095.0,20.0,Normal
101.162.34.59,1,4074.0,22.0,Normal
101.166.165.22,1,4069.0,19.0,Normal
101.177.227.91,1,4164.0,21.0,Normal
101.178.162.216,1,4187.0,20.0,Normal
101.185.208.176,1,3449.0,17.0,Normal
101.199.161.14,1,3475.0,1.0,Normal
101.2.203.206,1,3985.0,20.0,Normal
101.203.242.11,1,4065.0,20.0,Normal
101.206.165.120,1,3919.0,13.0,Normal
101.213.202.19,1,4263.0,22.0,Normal
101.217.125.143,1,4082.0,12.0,Normal
101.219.117.243,1,4078.0,20.0,Normal
101.22.123.61,1,5291.0,17.0,Normal
101.22.61.243,1,4196.0,17.0,Normal
101.221.48.155,1,4375.0,2.0,Normal
101.223.61.88,1,3727.0,20.0,Normal
101.231.252.136,1,4074.0,17.0,Normal
101.237.60.94,1,4105.0,23.0,Normal
101.24.64.181,1,2782.0,16.0,Normal
101.249.24.244,1,4072.0,14.0,Normal
101.249.63.223,1,4077.0,16.0,Normal
101.46.172.96,1,2883.0,6.0,Normal
101.52.162.90,1,4077.0,15.0,Normal
101.53.124.248,1,2875.0,17.0,Normal
101.6.52.82,1,2354.0,23.0,Normal
101.6.68.70,1,7113.0,2.0,Anomaly
101.74.194.184,1,4092.0,21.0,Normal
101.78.158.241,1,6574.0,16.0,Normal
101.80.17.2,1,3456.0,13.0,Normal
101.83.238.206,1,3446.0,9.0,Normal
101.84.167.105,1,3467.0,2.0,Normal
101.97.33.81,1,2760.0,12.0,Normal
102.0.62.18,1,4076.0,12.0,Normal
102.0.82.48,1,4114.0,16.0,Normal
102.105.204.161,1,4025.0,16.0,Normal
102.105.36.68,1,3414.0,22.0,Normal
102.107.194.28,1,2804.0,20.0,Normal
102.112.23.246,1,5126.0,20.0,Normal
102.112.46.117,1,3949.0,18.0,Normal
102.114.55.196,1,3441.0,11.0,Normal
102.13.122.74,1,2782.0,13.0,Normal
102.130.167.17,1,4084.0,18.0,Normal
102.132.184.11,1,3346.0,22.0,Normal
102.132.209.6,1,3949.0,17.0,Normal
102.137.1.105,2,4257.0,16.0,Anomaly
102.137.93.61,1,3436.0,14.0,Normal
102.145.201.152,1,4075.0,20.0,Normal
102.146.223.158,1,4040.0,14.0,Normal
102.15.125.132,1,2804.0,18.0,Normal
102.153.158.50,1,2812.0,0.0,Normal
102.153.24.242,1,3892.0,8.0,Normal
102.154.169.142,1,6790.0,13.0,Normal
102.154.230.200,1,3421.0,12.0,Normal
102.161.248.127,1,3756.0,18.0,Normal
102.163.7.170,1,5246.0,0.0,Normal
102.170.61.108,1,6116.0,12.0,Normal
102.170.94.82,1,2359.0,11.0,Normal
102.172.41.214,1,3398.0,12.0,Normal
102.189.11.150,1,4093.0,11.0,Normal
102.196.52.147,1,3422.0,17.0,Normal
102.203.85.140,1,3576.0,19.0,Normal
102.205.121.174,1,2783.0,16.0,Normal
102.207.159.49,1,3511.0,13.0,Normal
102.212.71.38,2,6797.0,20.0,Anomaly
102.22.26.118,1,2784.0,19.0,Normal
102.220.3.24,1,4048.0,21.0,Normal
102.226.128.118,1,5159.0,2.0,Normal
102.235.36.252,1,3286.0,23.0,Normal
102.246.141.201,1,4078.0,8.0,Normal
102.255.8.45,1,7292.0,13.0,Normal
102.31.253.236,1,2779.0,21.0,Normal
102.37.100.108,1,3433.0,18.0,Normal
102.39.251.176,1,3199.0,10.0,Normal
102.47.176.34,1,3994.0,9.0,Normal
102.53.223.179,1,2781.0,18.0,Normal
102.6.110.144,1,4052.0,15.0,Normal
102.62.109.171,1,4074.0,13.0,Normal
102.63.98.243,1,3520.0,13.0,Normal
102.75.111.191,1,3443.0,0.0,Normal
102.78.195.100,1,3413.0,17.0,Normal
102.80.95.109,2,6811.0,11.5,Anomaly
102.83.100.122,1,4099.0,12.0,Normal
102.85.179.79,1,3140.0,22.0,Normal
102.89.75.103,1,3911.0,12.0,Normal
102.92.220.101,1,3359.0,16.0,Normal
102.94.188.121,1,4076.0,0.0,Normal
102.95.187.26,1,2900.0,0.0,Normal
102.98.46.27,1,4158.0,23.0,Normal
1025:8067:54d6:5ac9:62d4:b22a:4b85:1121,1,5097.0,15.0,Normal
1026:58dd:d949:e8f5:5268:9ece:ad06:6b18,1,5908.0,19.0,Normal
1026:66dc:e25b:5c8:d10c:4c03:5bd7:1917,1,2853.0,14.0,Normal
103.0.205.249,1,4073.0,14.0,Normal
103.100.91.16,1,4063.0,12.0,Normal
103.103.235.121,1,4088.0,13.0,Normal
103.107.68.88,1,5376.0,16.0,Normal
103.113.163.47,1,3388.0,23.0,Normal
103.12.5.244,1,4073.0,11.0,Normal
103.120.90.43,1,2805.0,16.0,Normal
103.126.104.21,1,4064.0,12.0,Normal
103.131.35.123,1,3881.0,11.0,Normal
103.132.1.94,62,16152.274193548386,14.548387096774194,Anomaly
103.143.178.224,1,2806.0,18.0,Normal
103.158.248.30,1,2879.0,5.0,Normal
103.16.166.102,1,2934.0,1.0,Normal
103.161.3.19,1,4094.0,5.0,Normal
103.171.243.113,1,4272.0,21.0,Normal
103.18.153.37,1,2356.0,14.0,Normal
103.180.204.97,1,3406.0,17.0,Normal
103.190.42.39,1,6614.0,12.0,Normal
103.2.168.132,1,694.0,21.0,Anomaly
103.20.57.131,1,4086.0,9.0,Normal
103.202.73.208,1,909.0,3.0,Anomaly
103.203.137.46,1,4047.0,13.0,Normal
103.203.151.24,1,3914.0,20.0,Normal
103.208.72.173,1,907.0,5.0,Anomaly
103.211.187.47,1,3448.0,23.0,Normal
103.214.197.146,1,2776.0,14.0,Normal
103.22.13.55,1,3995.0,11.0,Normal
103.220.3.83,1,4098.0,0.0,Normal
103.224.126.110,1,5468.0,14.0,Normal
103.231.136.146,1,3936.0,20.0,Normal
103.234.30.28,1,3433.0,16.0,Normal
103.234.78.101,1,6528.0,17.0,Normal
103.237.81.97,1,2783.0,15.0,Normal
103.239.203.67,1,3901.0,17.0,Normal
103.24.109.31,1,3889.0,17.0,Normal
103.25.93.13,1,5255.0,17.0,Normal
103.29.199.204,1,3441.0,0.0,Normal
103.3.89.42,1,5374.0,18.0,Normal
103.40.107.62,1,4210.0,12.0,Normal
103.40.245.7,1,4096.0,19.0,Normal
103.44.238.93,1,4128.0,13.0,Normal
103.5.106.2,1,2921.0,17.0,Normal
103.55.1.102,1,3449.0,0.0,Normal
103.63.184.49,1,4091.0,9.0,Normal
103.64.42.162,1,6144.0,13.0,Normal
103.67.27.145,1,2329.0,23.0,Normal
103.78.147.151,1,4021.0,17.0,Normal
103.83.7.172,1,3444.0,20.0,Normal
103.84.67.65,1,3063.0,16.0,Normal
103.85.186.72,1,4084.0,22.0,Normal
103.86.168.212,1,3401.0,11.0,Normal
103.91.185.213,1,3147.0,10.0,Normal
103.92.15.74,1,903.0,23.0,Anomaly
103.94.182.245,1,3429.0,1.0,Normal
104.1.63.93,1,3560.0,21.0,Normal
104.104.190.189,1,2950.0,6.0,Normal
104.104.197.113,1,2806.0,14.0,Normal
104.112.46.203,1,3920.0,12.0,Normal
104.114.134.165,1,4077.0,20.0,Normal
104.120.196.226,1,3485.0,13.0,Normal
104.132.146.103,1,3417.0,21.0,Normal
104.140.15.81,1,3430.0,18.0,Normal
104.142.227.63,1,3413.0,21.0,Normal
104.148.18.128,1,2969.0,18.0,Normal
104.151.84.110,1,3915.0,2.0,Normal
104.160.208.29,1,4265.0,14.0,Normal
104.161.0.22,1,4295.0,15.0,Normal
104.163.234.109,1,5040.0,17.0,Normal
104.170.88.25,1,3917.0,19.0,Normal
104.179.36.59,1,4242.0,3.0,Normal
104.203.100.229,1,4053.0,6.0,Normal
104.203.72.182,1,4077.0,21.0,Normal
104.205.168.164,1,3441.0,17.0,Normal
104.208.141.28,1,4073.0,20.0,Normal
104.214.221.225,1,4148.0,17.0,Normal
104.218.68.55,1,4247.0,3.0,Normal
104.222.150.173,1,3964.0,14.0,Normal
104.224.150.91,1,4086.0,10.0,Normal
104.228.240.199,1,3559.0,21.0,Normal
104.229.116.229,1,3408.0,19.0,Normal
104.242.111.223,1,4397.0,20.0,Normal
104.30.223.71,1,5611.0,10.0,Normal
104.30.40.94,1,4716.0,10.0,Normal
104.46.76.94,1,3532.0,10.0,Normal
104.50.162.12,1,4044.0,10.0,Normal
104.52.26.210,1,3413.0,19.0,Normal
104.6.53.197,1,5504.0,22.0,Normal
104.63.20.255,1,4045.0,17.0,Normal
104.63.78.3,1,4079.0,21.0,Normal
104.66.114.216,1,4150.0,14.0,Normal
104.67.159.240,1,5786.0,9.0,Normal
104.75.117.5,1,5040.0,23.0,Normal
104.79.233.92,1,3390.0,16.0,Normal
104.81.252.41,1,3419.0,17.0,Normal
104.83.166.193,1,2954.0,14.0,Normal
104.88.241.226,1,4086.0,15.0,Normal
104.96.90.178,1,3391.0,16.0,Normal
1041:4799:f648:a4ea:56:a20e:fa78:49c0,1,3109.0,11.0,Normal
1042:dbc2:b2bb:be5a:16d1:b38f:a0:1cae,1,4053.0,16.0,Normal
104b:662d:b933:57bf:f94e:613b:68de:9e29,1,2999.0,17.0,Normal
104d:34c1:e2c:ef94:3012:d7ee:ef1c:8e1a,1,3785.0,21.0,Normal
105.102.173.19,1,4138.0,21.0,Normal
105.112.240.157,1,4316.0,22.0,Normal
105.12.64.72,2,5626.0,17.5,Anomaly
105.120.138.44,1,2807.0,21.0,Normal
105.124.7.64,1,3449.0,14.0,Normal
105.124.97.166,1,3916.0,9.0,Normal
105.128.36.4,1,4924.0,19.0,Normal
105.136.210.3,1,3438.0,1.0,Normal
105.141.135.119,1,4499.0,14.0,Normal
105.142.65.197,1,4074.0,23.0,Normal
105.142.96.5,75,6033.453333333333,15.306666666666667,Anomaly
105.146.132.199,1,3413.0,22.0,Normal
105.152.6.6,1,5106.0,14.0,Normal
105.153.157.179,1,4863.0,22.0,Normal
105.157.148.86,1,4065.0,1.0,Normal
105.170.153.76,1,4120.0,14.0,Normal
105.170.183.15,1,4117.0,18.0,Normal
105.173.187.191,1,3460.0,11.0,Normal
105.175.121.171,1,4120.0,11.0,Normal
105.177.45.251,1,4082.0,17.0,Normal
105.179.29.255,1,2804.0,20.0,Normal
105.181.12.56,1,2721.0,18.0,Normal
105.193.10.84,1,4045.0,18.0,Normal
105.193.66.211,1,5135.0,11.0,Normal
105.198.206.90,1,2896.0,3.0,Normal
105.201.156.77,1,3938.0,18.0,Normal
105.202.238.37,1,5389.0,23.0,Normal
105.205.20.173,1,3495.0,15.0,Normal
105.207.76.185,1,3449.0,21.0,Normal
105.208.128.209,1,4065.0,16.0,Normal
105.210.135.29,1,3546.0,1.0,Normal
105.27.147.72,1,4086.0,19.0,Normal
105.3.49.16,1,4269.0,2.0,Normal
105.33.18.106,1,2783.0,0.0,Normal
105.35.208.104,1,3212.0,7.0,Normal
105.39.144.47,1,3871.0,16.0,Normal
105.47.240.209,1,2925.0,21.0,Normal
105.5.254.146,1,5217.0,5.0,Normal
105.60.9.175,1,2811.0,21.0,Normal
105.62.56.130,1,5183.0,14.0,Normal
105.64.186.148,1,4060.0,16.0,Normal
105.75.190.90,1,3444.0,22.0,Normal
105.8.48.219,1,4575.0,22.0,Normal
105.80.141.108,1,3086.0,15.0,Normal
105.80.176.165,1,3428.0,12.0,Normal
105.85.234.136,1,4090.0,21.0,Normal
105.87.114.27,2,2782.5,5.5,Anomaly
105.90.230.217,1,3301.0,7.0,Normal
105.91.128.236,1,3448.0,13.0,Normal
105.92.14.250,1,3285.0,11.0,Normal
105.96.158.96,1,4042.0,19.0,Normal
105.96.16.6,1,6526.0,19.0,Normal
105.99.227.146,1,6583.0,1.0,Anomaly
105b:34f2:5ab0:762b:e56b:fe68:bfb7:64b1,1,3435.0,14.0,Normal
106.0.72.121,1,3726.0,20.0,Normal
106.1.240.217,1,3014.0,22.0,Normal
106.112.112.74,1,4036.0,22.0,Normal
106.119.215.248,1,631557.0,20.0,Anomaly
106.125.250.105,1,2764.0,23.0,Normal
106.128.4.176,1,5619.0,9.0,Normal
106.128.56.213,1,3810.0,16.0,Normal
106.132.135.224,1,3086.0,20.0,Normal
106.136.107.162,1,4042.0,21.0,Normal
106.155.223.208,1,2806.0,12.0,Normal
106.159.3.31,1,4044.0,19.0,Normal
106.166.140.71,1,4424.0,18.0,Normal
106.17.239.192,1,4714.0,12.0,Normal
106.173.10.27,1,3418.0,21.0,Normal
106.175.197.13,1,4065.0,19.0,Normal
106.179.141.85,1,3943.0,21.0,Normal
106.18.78.251,1,3445.0,3.0,Normal
106.186.149.149,1,3384.0,0.0,Normal
106.186.245.38,1,4069.0,12.0,Normal
106.207.112.95,1,4102.0,21.0,Normal
106.207.124.165,1,4012.0,1.0,Normal
106.218.221.45,1,3895.0,12.0,Normal
106.222.247.153,1,3462.0,18.0,Normal
106.224.233.160,1,5188.0,20.0,Normal
106.236.228.255,1,3897.0,22.0,Normal
106.242.225.175,1,4090.0,18.0,Normal
106.247.50.223,1,3543.0,12.0,Normal
106.252.174.255,1,2760.0,6.0,Normal
106.255.56.31,1,6449.0,21.0,Normal
106.3.87.42,1,4084.0,0.0,Normal
106.30.144.30,1,3897.0,17.0,Normal
106.32.144.203,1,2805.0,14.0,Normal
106.34.215.221,1,3893.0,22.0,Normal
106.44.169.185,1,2901.0,17.0,Normal
106.48.202.110,1,3912.0,11.0,Normal
106.5.102.227,1,3464.0,12.0,Normal
106.51.168.73,1,3396.0,13.0,Normal
106.52.127.237,1,4264.0,14.0,Normal
106.57.18.153,1,997.0,19.0,Anomaly
106.59.32.127,1,3787.0,3.0,Normal
106.68.220.222,1,4016.0,4.0,Normal
106.71.102.168,1,4154.0,14.0,Normal
106.72.189.231,1,5153.0,9.0,Normal
106.75.47.39,1,3434.0,12.0,Normal
106.78.22.4,1,4870.0,22.0,Normal
106.87.173.60,1,4937.0,16.0,Normal
106.88.125.14,1,4048.0,13.0,Normal
106.90.46.163,1,3515.0,21.0,Normal
106.95.16.237,1,4260.0,21.0,Normal
1065:f950:1dca:739b:da2d:38fd:9b57:92c9,1,5131.0,22.0,Normal
107.107.43.6,1,2789.0,18.0,Normal
107.108.164.143,1,3462.0,14.0,Normal
107.108.207.223,1,3464.0,17.0,Normal
107.116.78.58,1,3819.0,11.0,Normal
107.125.188.109,1,3476.0,2.0,Normal
107.127.204.184,1,3900.0,17.0,Normal
107.133.78.244,1,4079.0,20.0,Normal
107.139.128.185,1,4082.0,14.0,Normal
107.148.64.76,1,4100.0,11.0,Normal
107.149.46.101,1,4106.0,2.0,Normal
107.149.92.192,1,3917.0,16.0,Normal
107.154.178.9,1,4041.0,12.0,Normal
107.165.69.104,1,4160.0,19.0,Normal
107.17.109.107,1,3486.0,20.0,Normal
107.17.194.199,1,2809.0,18.0,Normal
107.17.220.152,1,2929.0,13.0,Normal
107.17.83.143,1,4051.0,18.0,Normal
107.170.112.56,1,3406.0,19.0,Normal
107.175.133.239,1,3418.0,17.0,Normal
107.176.167.237,1,4074.0,22.0,Normal
107.177.198.116,1,4249.0,3.0,Normal
107.183.209.136,1,3783.0,12.0,Normal
107.19.88.124,1,4101.0,16.0,Normal
107.191.172.202,1,3418.0,22.0,Normal
107.199.221.146,1,2782.0,0.0,Normal
107.201.109.151,1,2766.0,0.0,Normal
107.201.233.109,1,3898.0,13.0,Normal
107.208.243.2,1,3242.0,9.0,Normal
107.214.28.159,1,4067.0,15.0,Normal
107.218.155.22,1,4932.0,21.0,Normal
107.219.67.31,1,3284.0,16.0,Normal
107.224.107.239,1,4044.0,15.0,Normal
107.227.19.79,1,4080.0,3.0,Normal
107.227.90.195,1,4039.0,1.0,Normal
107.230.113.49,1,4074.0,13.0,Normal
107.233.228.172,1,3438.0,13.0,Normal
107.235.194.234,1,3514.0,11.0,Normal
107.239.209.151,1,4084.0,1.0,Normal
107.243.235.204,1,3409.0,18.0,Normal
107.249.128.215,1,4109.0,11.0,Normal
107.26.105.18,1,3898.0,22.0,Normal
107.3.24.228,1,4671.0,6.0,Normal
107.40.159.158,1,3471.0,18.0,Normal
107.40.85.214,1,2802.0,21.0,Normal
107.46.124.221,1,3334.0,9.0,Normal
107.47.130.120,1,4089.0,12.0,Normal
107.47.81.85,2,3240.0,8.5,Anomaly
107.51.168.38,1,4060.0,22.0,Normal
107.52.235.209,1,5156.0,12.0,Normal
107.53.165.118,1,2950.0,3.0,Normal
107.56.169.44,1,4221.0,21.0,Normal
107.57.237.249,1,4094.0,2.0,Normal
107.59.153.145,1,3916.0,20.0,Normal
107.59.201.74,1,3942.0,14.0,Normal
107.63.160.43,1,4113.0,13.0,Normal
107.66.122.69,1,3755.0,10.0,Normal
107.70.73.221,1,4238.0,14.0,Normal
107.73.110.214,1,3916.0,13.0,Normal
107.77.152.107,1,4046.0,17.0,Normal
107.84.123.249,1,4052.0,11.0,Normal
107.87.10.22,1,4738.0,20.0,Normal
107.87.25.170,1,4211.0,1.0,Normal
107.95.255.216,1,2981.0,2.0,Normal
107.96.12.221,1,3451.0,17.0,Normal
107.99.233.112,1,4048.0,22.0,Normal
1071:a803:22b0:aa37:8cc5:44b:7abe:9767,1,4640.0,21.0,Normal
1077:7500:8801:a3fd:bc20:b1e9:4fa6:6971,1,7432.0,19.0,Normal
1079:6473:d76f:198e:7b6e:52be:f438:5171,1,4723.0,2.0,Normal
107f:c766:980:53f0:f5cd:8365:be76:acc4,1,4103.0,16.0,Normal
108.100.157.83,1,5414.0,16.0,Normal
108.106.71.115,1,4071.0,17.0,Normal
108.114.85.151,1,4080.0,23.0,Normal
108.119.5.213,1,4296.0,18.0,Normal
108.123.103.129,2,6630.5,17.5,Anomaly
108.137.45.145,1,3520.0,21.0,Normal
108.138.169.176,1,2940.0,22.0,Normal
108.146.242.98,1,3432.0,19.0,Normal
108.147.249.254,1,4090.0,11.0,Normal
108.154.54.252,1,4016.0,13.0,Normal
108.155.225.4,1,3429.0,21.0,Normal
108.156.36.73,1,4561.0,0.0,Normal
108.158.182.184,1,4095.0,5.0,Normal
108.163.126.50,1,4083.0,19.0,Normal
108.179.156.98,1,3478.0,17.0,Normal
108.189.143.18,1,3821.0,20.0,Normal
108.189.230.110,1,3404.0,12.0,Normal
108.191.150.133,1,3190.0,20.0,Normal
108.196.207.188,1,4091.0,10.0,Normal
108.197.194.132,1,3451.0,15.0,Normal
108.200.244.46,1,3052.0,15.0,Normal
108.202.216.214,1,3782.0,12.0,Normal
108.210.184.213,1,3134.0,0.0,Normal
108.211.228.176,66,6129.363636363636,14.030303030303031,Anomaly
108.214.210.26,1,4025.0,12.0,Normal
108.215.181.196,1,3452.0,23.0,Normal
108.224.36.106,1,5064.0,15.0,Normal
108.225.250.94,1,3752.0,13.0,Normal
108.231.83.165,1,3993.0,2.0,Normal
108.233.251.189,1,4065.0,4.0,Normal
108.24.95.167,1,6671.0,12.0,Normal
108.242.138.57,1,5427.0,2.0,Normal
108.27.236.127,1,2928.0,0.0,Normal
108.38.243.220,1,4112.0,13.0,Normal
108.39.20.108,1,4982.0,15.0,Normal
108.4.218.193,1,3281.0,7.0,Normal
108.45.209.166,1,3301.0,13.0,Normal
108.49.140.87,1,3565.0,14.0,Normal
108.56.174.36,1,4065.0,19.0,Normal
108.61.224.228,1,3533.0,19.0,Normal
108.61.62.77,1,3755.0,17.0,Normal
108.65.28.255,1,3444.0,14.0,Normal
108.67.230.21,1,2778.0,22.0,Normal
108.73.251.157,1,3410.0,20.0,Normal
108.79.164.52,1,4070.0,0.0,Normal
108.85.207.48,1,4265.0,14.0,Normal
108.89.197.99,1,3897.0,14.0,Normal
108.90.195.7,1,2786.0,1.0,Normal
108.93.252.151,2,2572.0,14.0,Anomaly
108.94.147.180,1,2328.0,22.0,Normal
108.98.102.32,1,3412.0,16.0,Normal
1087:4c70:facc:aaa7:53b8:26b1:73bc:11a6,1,4075.0,6.0,Normal
108b:2dd8:126:5852:a7d7:e678:4b9f:b6a5,1,4101.0,23.0,Normal
109.0.225.117,1,3247.0,18.0,Normal
109.101.133.35,1,4070.0,17.0,Normal
109.106.75.235,1,3415.0,13.0,Normal
109.109.210.186,1,3768.0,2.0,Normal
109.120.59.67,1,3749.0,0.0,Normal
109.123.226.86,1,4641.0,19.0,Normal
109.129.113.23,1,4152.0,17.0,Normal
109.130.245.255,1,3196.0,3.0,Normal
109.132.19.156,1,4076.0,8.0,Normal
109.135.127.186,1,6322.0,0.0,Anomaly
109.149.48.225,1,3947.0,18.0,Normal
109.164.205.136,1,3727.0,1.0,Normal
109.171.58.139,1,3413.0,3.0,Normal
109.177.225.248,1,4065.0,12.0,Normal
109.184.203.180,1,2807.0,22.0,Normal
109.19.5.59,1,4062.0,2.0,Normal
109.190.185.83,1,2785.0,5.0,Normal
109.191.75.181,1,3463.0,13.0,Normal
109.192.190.189,1,3473.0,4.0,Normal
109.192.212.162,1,3740.0,22.0,Normal
