ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
112.195.87.179,2,4693.0,16.5,Anomaly,40,Unusually high request count.
112.49.93.17,1,5885.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
112.77.251.91,1,978.0,22.0,Anomaly,0,No clear reason identified.
113.19.13.53,63,6282.015873015873,13.80952380952381,Anomaly,70,Unusually high request count.; High data transfer per request.
113.50.114.50,12,1712.9166666666667,7.666666666666667,Anomaly,40,Unusually high request count.
113.81.236.185,2,2790.0,18.0,Anomaly,40,Unusually high request count.
114.159.177.86,1,11482.0,14.0,Anomaly,30,High data transfer per request.
114.22.116.127,4,4186.5,14.25,Anomaly,40,Unusually high request count.
114.32.44.197,1,9306.0,14.0,Anomaly,30,High data transfer per request.
114.62.68.13,1,86757.0,12.0,Anomaly,30,High data transfer per request.
114.97.164.108,1,5623.0,2.0,Anomaly,20,Unusual activity outside normal business hours.
114f:ae7e:5a0d:98fd:c10f:d2fb:2182:ef68,2,3606.5,19.0,Anomaly,40,Unusually high request count.
115.195.224.162,1,5948.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
115.243.18.106,2,14037.0,9.0,Anomaly,70,Unusually high request count.; High data transfer per request.
115.69.4.173,1,5975.0,3.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
115.77.34.60,2,3729.5,2.0,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
116.254.36.200,67,6076.507462686567,15.64179104477612,Anomaly,70,Unusually high request count.; High data transfer per request.
116d:5040:ba7:63ac:cdec:e8c9:fac7:6be8,1,6771.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
117.118.58.65,1,5907.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
117.185.175.217,2,3118.5,17.0,Anomaly,40,Unusually high request count.
117.197.1.242,7,24167.285714285714,10.285714285714286,Anomaly,70,Unusually high request count.; High data transfer per request.
117.200.193.5,105,6119.914285714286,13.361904761904762,Anomaly,70,Unusually high request count.; High data transfer per request.
117.236.255.204,1,10616.0,13.0,Anomaly,30,High data transfer per request.
117.76.76.156,2,4191.5,7.5,Anomaly,40,Unusually high request count.
118.20.187.50,62,15954.40322580645,12.838709677419354,Anomaly,70,Unusually high request count.; High data transfer per request.
119.127.167.78,1,630519.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
12.126.203.14,1,10800.0,11.0,Anomaly,30,High data transfer per request.
12.184.81.2,2,2792.0,11.0,Anomaly,40,Unusually high request count.
12.185.138.113,2,4439.5,16.5,Anomaly,40,Unusually high request count.
120.242.11.93,1,6012.0,5.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
120.90.235.103,1,691.0,9.0,Anomaly,0,No clear reason identified.
121.150.57.141,3,16742.666666666668,11.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
121.155.149.8,1,13137.0,10.0,Anomaly,30,High data transfer per request.
122.51.49.0,1,41895.0,21.0,Anomaly,30,High data transfer per request.
122.70.70.150,1,5669.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
123.125.15.36,1,5702.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
123.147.31.210,79,6122.506329113924,12.620253164556962,Anomaly,70,Unusually high request count.; High data transfer per request.
1237:d8aa:1560:1ee8:b70c:7e56:40a4:c2bd,1,7995.0,11.0,Anomaly,30,High data transfer per request.
124.126.124.58,3,3078.0,14.666666666666666,Anomaly,40,Unusually high request count.
124.156.90.252,1,276710.0,13.0,Anomaly,30,High data transfer per request.
124.93.170.120,1,6166.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
124c:19a1:903c:4e84:b50c:3f5e:6822:b32,2,3466.0,16.5,Anomaly,40,Unusually high request count.
125.170.102.209,2,2756.5,6.0,Anomaly,40,Unusually high request count.
125.19.91.23,2,3106.5,16.0,Anomaly,40,Unusually high request count.
125.227.246.131,116,6169.939655172414,12.939655172413794,Anomaly,70,Unusually high request count.; High data transfer per request.
125.28.50.66,2,3124.5,0.5,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
126.154.148.160,3,3606.6666666666665,7.666666666666667,Anomaly,40,Unusually high request count.
126.173.54.146,2,2758.0,16.0,Anomaly,40,Unusually high request count.
126.50.152.53,1,17932.0,10.0,Anomaly,30,High data transfer per request.
128.103.139.186,98,6334.785714285715,13.520408163265307,Anomaly,70,Unusually high request count.; High data transfer per request.
128.3.125.57,92,6047.130434782609,13.01086956521739,Anomaly,70,Unusually high request count.; High data transfer per request.
128.40.28.16,7,24362.714285714286,9.571428571428571,Anomaly,70,Unusually high request count.; High data transfer per request.
129.113.136.61,2,6496.0,13.5,Anomaly,70,Unusually high request count.; High data transfer per request.
129.221.220.242,1,2327.0,2.0,Anomaly,20,Unusual activity outside normal business hours.
129.250.178.34,100,6055.26,12.9,Anomaly,70,Unusually high request count.; High data transfer per request.
129.53.13.62,114,6286.201754385965,13.412280701754385,Anomaly,70,Unusually high request count.; High data transfer per request.
129.80.215.116,2,6420.0,7.5,Anomaly,70,Unusually high request count.; High data transfer per request.
129.95.66.171,1,976.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
13.234.141.203,2,3217.5,8.0,Anomaly,40,Unusually high request count.
13.235.167.220,107,6175.177570093458,13.439252336448599,Anomaly,70,Unusually high request count.; High data transfer per request.
13.66.146.73,1,2692.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
130.119.37.169,59,6065.64406779661,14.491525423728813,Anomaly,70,Unusually high request count.; High data transfer per request.
130.162.156.4,2,3218.5,2.0,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
130.34.148.216,2,3099.0,18.5,Anomaly,40,Unusually high request count.
131.131.216.185,1,5908.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
131.157.141.74,71,6399.183098591549,14.126760563380282,Anomaly,70,Unusually high request count.; High data transfer per request.
131.172.116.28,1,81822.0,11.0,Anomaly,30,High data transfer per request.
131.183.228.42,2,6569.5,7.5,Anomaly,70,Unusually high request count.; High data transfer per request.
131.186.215.9,1,8547.0,12.0,Anomaly,30,High data transfer per request.
131.27.13.65,3,3782.0,12.333333333333334,Anomaly,40,Unusually high request count.
131.94.212.199,1,5598.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
132.107.158.218,105,6192.1809523809525,14.41904761904762,Anomaly,70,Unusually high request count.; High data transfer per request.
133.157.216.48,102,6298.558823529412,13.980392156862745,Anomaly,70,Unusually high request count.; High data transfer per request.
133.241.158.167,1,790.0,18.0,Anomaly,0,No clear reason identified.
133.243.19.15,1,12011.0,13.0,Anomaly,30,High data transfer per request.
134.164.244.165,1,22013.0,18.0,Anomaly,30,High data transfer per request.
134.197.4.141,1,6161.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
134.226.226.202,91,6271.857142857143,13.76923076923077,Anomaly,70,Unusually high request count.; High data transfer per request.
134.84.147.27,2,2568.0,11.5,Anomaly,40,Unusually high request count.
135.130.83.6,3,937.3333333333334,3.6666666666666665,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
135.161.89.192,79,6226.569620253164,14.683544303797468,Anomaly,70,Unusually high request count.; High data transfer per request.
135.187.47.50,2,4877.0,14.0,Anomaly,40,Unusually high request count.
135.200.18.247,1,5664.0,2.0,Anomaly,20,Unusual activity outside normal business hours.
135.70.93.170,2,5625.5,17.5,Anomaly,40,Unusually high request count.
136.91.182.201,2,3535.0,15.5,Anomaly,40,Unusually high request count.
138.186.185.240,60,6398.8,15.65,Anomaly,70,Unusually high request count.; High data transfer per request.
138.67.25.103,2,931.0,8.0,Anomaly,40,Unusually high request count.
138.75.80.97,4,3126.5,11.75,Anomaly,40,Unusually high request count.
139.10.22.175,4,4050.75,18.5,Anomaly,40,Unusually high request count.
139.180.188.38,2,3727.0,13.0,Anomaly,40,Unusually high request count.
139.226.142.16,2,2791.0,23.0,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
139.48.146.104,1,10160.0,16.0,Anomaly,30,High data transfer per request.
139.54.4.243,2,3557.5,7.0,Anomaly,40,Unusually high request count.
139.88.106.5,71,6298.507042253521,14.154929577464788,Anomaly,70,Unusually high request count.; High data transfer per request.
14.219.202.71,59,6129.983050847458,14.94915254237288,Anomaly,70,Unusually high request count.; High data transfer per request.
14.223.170.36,1,16013.0,18.0,Anomaly,30,High data transfer per request.
14.227.188.198,61,6174.262295081967,14.426229508196721,Anomaly,70,Unusually high request count.; High data transfer per request.
14.240.3.123,1,27863.0,14.0,Anomaly,30,High data transfer per request.
14.29.20.179,1,933.0,19.0,Anomaly,0,No clear reason identified.
14.35.51.254,1,903.0,5.0,Anomaly,20,Unusual activity outside normal business hours.
140.197.95.11,1,6622.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
140.242.105.201,1,965.0,5.0,Anomaly,20,Unusual activity outside normal business hours.
140.244.82.129,1,6604.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
141.148.116.60,68,6048.073529411765,14.558823529411764,Anomaly,70,Unusually high request count.; High data transfer per request.
141.239.62.154,1,8103.0,19.0,Anomaly,30,High data transfer per request.
141.49.101.217,3,10547.0,12.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
141.51.173.187,1,5889.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
141.88.221.146,2,6588.0,0.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
141.93.137.16,2,5866.0,17.5,Anomaly,70,Unusually high request count.; High data transfer per request.
142.226.41.187,1,5700.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
142.64.49.230,3,4831.333333333333,12.333333333333334,Anomaly,40,Unusually high request count.
142.90.61.169,1,5984.0,4.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
143.192.219.104,79,6374.898734177215,15.164556962025317,Anomaly,70,Unusually high request count.; High data transfer per request.
143.22.59.147,1,11259.0,13.0,Anomaly,30,High data transfer per request.
143.223.188.210,92,6097.380434782609,14.108695652173912,Anomaly,70,Unusually high request count.; High data transfer per request.
143.39.217.168,2,2802.5,16.5,Anomaly,40,Unusually high request count.
143.4.1.39,79,6305.708860759493,14.20253164556962,Anomaly,70,Unusually high request count.; High data transfer per request.
143.55.240.9,1,8532.0,19.0,Anomaly,30,High data transfer per request.
143.79.36.84,2,3128.0,8.5,Anomaly,40,Unusually high request count.
144.130.128.22,2,3114.5,11.0,Anomaly,40,Unusually high request count.
144.140.215.40,3,8831.333333333334,17.666666666666668,Anomaly,70,Unusually high request count.; High data transfer per request.
144.189.52.91,2,3714.5,13.0,Anomaly,40,Unusually high request count.
144.34.21.39,1,11823.0,13.0,Anomaly,30,High data transfer per request.
144.43.7.43,81,6322.592592592592,14.987654320987655,Anomaly,70,Unusually high request count.; High data transfer per request.
145.101.39.251,3,3800.3333333333335,13.0,Anomaly,40,Unusually high request count.
145.176.150.30,25,4427.44,14.76,Anomaly,40,Unusually high request count.
146.239.91.195,87,6327.505747126437,14.67816091954023,Anomaly,70,Unusually high request count.; High data transfer per request.
146.27.42.79,1,693.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
147.226.83.14,1,917.0,21.0,Anomaly,0,No clear reason identified.
147.238.73.163,1,1163.0,22.0,Anomaly,0,No clear reason identified.
147.41.40.18,76,6128.565789473684,13.421052631578947,Anomaly,70,Unusually high request count.; High data transfer per request.
149.6.181.222,1,1158.0,22.0,Anomaly,0,No clear reason identified.
15.156.249.187,1,8133.0,10.0,Anomaly,30,High data transfer per request.
15.66.37.90,1,11407.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
150.123.153.50,2,5435.0,16.5,Anomaly,40,Unusually high request count.
150.160.13.155,3,3291.0,7.333333333333333,Anomaly,40,Unusually high request count.
150.165.128.192,1,14047.0,20.0,Anomaly,30,High data transfer per request.
150.173.70.174,2,910.5,15.0,Anomaly,40,Unusually high request count.
150.182.50.156,2,24605.5,10.0,Anomaly,70,Unusually high request count.; High data transfer per request.
150.69.21.143,1,7954.0,11.0,Anomaly,30,High data transfer per request.
151.143.17.99,1,13412.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
151.250.195.153,1,1034.0,22.0,Anomaly,0,No clear reason identified.
152.69.89.147,1,5701.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
153.215.62.134,1,2331.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
153.79.244.199,2,3139.5,15.5,Anomaly,40,Unusually high request count.
154.108.169.139,2,3499.0,21.5,Anomaly,40,Unusually high request count.
154.126.110.255,1,9423.0,14.0,Anomaly,30,High data transfer per request.
154.15.130.67,2,5360.5,6.0,Anomaly,40,Unusually high request count.
154.194.118.163,12,24979.416666666668,16.5,Anomaly,70,Unusually high request count.; High data transfer per request.
154.227.241.90,2,3150.0,9.0,Anomaly,40,Unusually high request count.
154.242.235.136,1,5693.0,3.0,Anomaly,20,Unusual activity outside normal business hours.
154.244.130.33,82,6208.780487804878,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
154.86.161.126,2,4519.5,12.5,Anomaly,40,Unusually high request count.
154b:8c2f:83ee:e7f2:bce0:a4cb:b9e2:ea56,1,11955.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
155.126.21.51,2,2808.5,16.0,Anomaly,40,Unusually high request count.
155.142.17.246,2,4776.0,13.5,Anomaly,40,Unusually high request count.
155.159.88.145,6,3261.0,14.166666666666666,Anomaly,40,Unusually high request count.
155.184.83.45,1,1049.0,5.0,Anomaly,20,Unusual activity outside normal business hours.
155.238.82.218,2,2798.0,18.5,Anomaly,40,Unusually high request count.
156.130.50.39,1,9605.0,12.0,Anomaly,30,High data transfer per request.
156.75.243.72,2,4257.5,13.5,Anomaly,40,Unusually high request count.
157.171.251.241,1,905.0,6.0,Anomaly,0,No clear reason identified.
157.173.182.185,1,6606.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
157.215.254.41,1,6697.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
157.226.241.234,108,6139.685185185185,13.24074074074074,Anomaly,70,Unusually high request count.; High data transfer per request.
157.232.37.85,1,6322.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
157.239.219.163,1,6051.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
158.124.135.63,2,4067.0,7.5,Anomaly,40,Unusually high request count.
158.166.90.114,2,924.0,12.5,Anomaly,40,Unusually high request count.
158.186.139.13,1,5633.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
158.227.15.218,1,5934.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
158.240.206.108,70,6260.085714285714,13.314285714285715,Anomaly,70,Unusually high request count.; High data transfer per request.
158.54.114.132,1,2330.0,2.0,Anomaly,20,Unusual activity outside normal business hours.
158.92.159.145,1,6783.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
159.147.102.107,103,6277.8932038834955,14.184466019417476,Anomaly,70,Unusually high request count.; High data transfer per request.
159.168.200.38,112,6031.5625,13.982142857142858,Anomaly,70,Unusually high request count.; High data transfer per request.
159.169.70.177,2,3397.0,2.5,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
159.197.110.50,88,11279.102272727272,14.034090909090908,Anomaly,70,Unusually high request count.; High data transfer per request.
159.208.189.131,12,2712.25,13.0,Anomaly,40,Unusually high request count.
159.61.232.236,1,6483.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
16.105.28.238,2,4855.0,11.0,Anomaly,40,Unusually high request count.
16.222.199.238,1,12873.0,21.0,Anomaly,30,High data transfer per request.
16.46.234.185,1,2739.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
16.9.26.193,7,4113.0,15.857142857142858,Anomaly,40,Unusually high request count.
16.95.230.105,1,5534.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
160.29.4.70,1,6040.0,4.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
160.51.5.151,1,5700.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
161.194.109.104,1,6863.0,22.0,Anomaly,30,High data transfer per request.
161.35.81.220,1,6570.0,3.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
162.155.161.159,2,8068.5,15.0,Anomaly,70,Unusually high request count.; High data transfer per request.
162.36.251.131,1,6548.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
162.44.135.108,1,8289.0,21.0,Anomaly,30,High data transfer per request.
162.57.28.201,1,5659.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
163.161.23.210,2,2666.5,14.5,Anomaly,40,Unusually high request count.
163.165.146.78,2,4055.5,10.5,Anomaly,40,Unusually high request count.
163.56.183.144,2,4304.0,15.0,Anomaly,40,Unusually high request count.
163.74.141.11,2,3102.5,17.0,Anomaly,40,Unusually high request count.
164.194.100.2,1,6278.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
164.96.142.64,5,135404.4,16.0,Anomaly,70,Unusually high request count.; High data transfer per request.
165.106.216.44,1,5580.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
165.107.232.96,21,32849.95238095238,14.571428571428571,Anomaly,70,Unusually high request count.; High data transfer per request.
165.139.52.210,2,2761.0,14.0,Anomaly,40,Unusually high request count.
166.104.120.50,1,13126.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
166.124.197.174,1,5883.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
166.33.221.225,3,4249.333333333333,4.333333333333333,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
167.184.229.178,3,4960.333333333333,11.333333333333334,Anomaly,40,Unusually high request count.
167.19.186.112,58,6110.310344827586,14.689655172413794,Anomaly,70,Unusually high request count.; High data transfer per request.
167.233.172.175,2,5139.5,17.0,Anomaly,40,Unusually high request count.
167.53.133.35,2,3734.5,1.0,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
168.15.109.200,2,4890.5,16.5,Anomaly,40,Unusually high request count.
169.193.198.65,1,19461.0,17.0,Anomaly,30,High data transfer per request.
169.60.56.31,2,6065.5,11.0,Anomaly,70,Unusually high request count.; High data transfer per request.
16c8:91b7:ba53:32f7:3ceb:824a:83a1:4611,1,5619.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
17.177.18.116,1,5676.0,2.0,Anomaly,20,Unusual activity outside normal business hours.
17.230.52.60,2,2794.5,17.0,Anomaly,40,Unusually high request count.
17.29.166.192,1,72514.0,20.0,Anomaly,30,High data transfer per request.
170.127.13.27,3,2796.0,17.0,Anomaly,40,Unusually high request count.
170.128.174.116,1,948.0,22.0,Anomaly,0,No clear reason identified.
170.189.2.236,2,2150.0,11.0,Anomaly,40,Unusually high request count.
170.37.113.2,2,5060.5,11.0,Anomaly,40,Unusually high request count.
170.42.26.132,1,909.0,8.0,Anomaly,0,No clear reason identified.
170.94.109.147,1,28554.0,14.0,Anomaly,30,High data transfer per request.
171.23.246.130,2,2780.5,20.5,Anomaly,40,Unusually high request count.
171.40.165.112,96,6141.90625,12.552083333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
171.76.104.123,96,5413.083333333333,13.822916666666666,Anomaly,40,Unusually high request count.
171b:1e3d:97d0:26ea:e2c9:c9d3:17d5:6f0c,1,2388.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
172.11.10.197,1,27810.0,17.0,Anomaly,30,High data transfer per request.
172.126.210.5,7,4088.4285714285716,15.142857142857142,Anomaly,40,Unusually high request count.
172.181.32.46,1,6233.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
172.220.192.118,2,2804.5,12.0,Anomaly,40,Unusually high request count.
172.26.56.110,73,6169.575342465753,14.602739726027398,Anomaly,70,Unusually high request count.; High data transfer per request.
172.27.244.137,1,7117.0,6.0,Anomaly,30,High data transfer per request.
172.56.168.118,1,6917.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
172.73.227.140,105,6366.72380952381,14.695238095238095,Anomaly,70,Unusually high request count.; High data transfer per request.
173.128.86.170,3,2703.3333333333335,16.0,Anomaly,40,Unusually high request count.
173.225.183.188,3,5019.666666666667,8.333333333333334,Anomaly,40,Unusually high request count.
173.238.67.101,1,982.0,21.0,Anomaly,0,No clear reason identified.
173.98.76.81,2,4524.0,16.5,Anomaly,40,Unusually high request count.
175.102.252.63,4,5744.25,15.0,Anomaly,70,Unusually high request count.; High data transfer per request.
175.171.137.220,2,3849.5,8.5,Anomaly,40,Unusually high request count.
175.200.138.169,1,2354.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
175.4.145.21,2,4995.0,12.5,Anomaly,40,Unusually high request count.
176.16.194.232,1,8531.0,21.0,Anomaly,30,High data transfer per request.
176.229.127.89,1,8313.0,21.0,Anomaly,30,High data transfer per request.
176.49.180.32,2,3769.5,7.0,Anomaly,40,Unusually high request count.
176.51.157.77,1,6971.0,3.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
176.65.190.125,1,6626.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
177.179.221.247,1,12903.0,13.0,Anomaly,30,High data transfer per request.
177.228.66.227,1,8667.0,20.0,Anomaly,30,High data transfer per request.
177.26.98.130,2,3472.0,10.5,Anomaly,40,Unusually high request count.
178.142.10.15,2,3910.0,8.5,Anomaly,40,Unusually high request count.
178.176.31.6,59,6386.542372881356,14.423728813559322,Anomaly,70,Unusually high request count.; High data transfer per request.
178.209.20.150,1,5846.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
178.4.201.41,16,2715.5625,13.8125,Anomaly,40,Unusually high request count.
178.64.238.222,1,13375.0,18.0,Anomaly,30,High data transfer per request.
178.91.154.153,1,12459.0,14.0,Anomaly,30,High data transfer per request.
179.11.123.206,57,6301.140350877193,14.105263157894736,Anomaly,70,Unusually high request count.; High data transfer per request.
179.181.145.163,2,6587.0,15.5,Anomaly,70,Unusually high request count.; High data transfer per request.
179.192.152.151,72,6537.208333333333,15.055555555555555,Anomaly,70,Unusually high request count.; High data transfer per request.
179.194.149.14,1,934.0,3.0,Anomaly,20,Unusual activity outside normal business hours.
179.91.216.203,1,1545540.0,13.0,Anomaly,30,High data transfer per request.
18.16.173.107,2,3637.0,19.0,Anomaly,40,Unusually high request count.
18.20.7.134,1,561942.0,10.0,Anomaly,30,High data transfer per request.
18.51.222.213,4,2782.75,16.0,Anomaly,40,Unusually high request count.
180.104.33.29,2,2317.5,17.5,Anomaly,40,Unusually high request count.
180.202.126.248,2,5761.5,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
180.77.73.174,1,25461.0,18.0,Anomaly,30,High data transfer per request.
180.93.25.82,4,2714.75,18.5,Anomaly,40,Unusually high request count.
180.95.116.205,1,6030.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
181.120.248.8,2,3658.5,17.5,Anomaly,40,Unusually high request count.
181.122.204.150,2,4863.5,16.5,Anomaly,40,Unusually high request count.
181.213.103.91,51,5974.686274509804,15.509803921568627,Anomaly,70,Unusually high request count.; High data transfer per request.
181.231.251.140,2,3427.5,18.5,Anomaly,40,Unusually high request count.
181.37.150.112,70,6218.257142857143,13.371428571428572,Anomaly,70,Unusually high request count.; High data transfer per request.
182.111.112.86,4,2713.75,17.0,Anomaly,40,Unusually high request count.
182.132.136.162,1,6464.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
182.217.53.140,1,8135.0,18.0,Anomaly,30,High data transfer per request.
182.47.225.35,1,54980.0,20.0,Anomaly,30,High data transfer per request.
183.107.249.124,2,5459.5,12.5,Anomaly,40,Unusually high request count.
183.131.230.62,6,4683.5,11.166666666666666,Anomaly,40,Unusually high request count.
184.140.47.102,1,10026.0,13.0,Anomaly,30,High data transfer per request.
184.157.144.188,1,5911.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
185.0.128.177,1,22045.0,3.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
185.132.82.197,2,2789.0,12.0,Anomaly,40,Unusually high request count.
185.197.137.16,1,924.0,8.0,Anomaly,0,No clear reason identified.
185.200.193.25,2,934.5,7.5,Anomaly,40,Unusually high request count.
