ClientIP,RequestCountByIP,AverageBytesByIP,Hour,ReconstructionError,Anomaly
10.228.138.224,1,4240.0,22.0,7.079483059373248e-07,Normal
10.228.210.2,47,3512.851063829787,11.404255319148936,1.739992671659488e-05,Anomaly
10.237.129.67,1,4108.0,13.0,2.0430010562255956e-07,Normal
10.237.130.107,1,3435.0,14.0,2.468856372576406e-07,Normal
10.239.170.15,1,4998.0,18.0,9.430388364283212e-07,Normal
10.240.66.74,1,4040.0,22.0,5.280666748298725e-07,Normal
10.242.116.212,1,4036.0,20.0,2.6415097666613857e-07,Normal
10.245.98.186,1,3921.0,0.0,7.085349559780908e-07,Normal
10.26.37.105,1,3412.0,9.0,4.090874043123086e-07,Normal
10.3.255.8,1,3251.0,17.0,6.664859133355185e-07,Normal
10.30.197.149,1,4065.0,0.0,7.446821812207177e-07,Normal
10.35.252.211,1,5367.0,0.0,1.3118110382185568e-06,Normal
10.41.82.254,1,4065.0,22.0,5.486402810299741e-07,Normal
10.47.55.128,1,3825.0,18.0,6.20077918653189e-07,Normal
10.47.62.178,1,4068.0,14.0,2.004371383689993e-07,Normal
10.54.59.111,1,3537.0,23.0,2.6501395289944883e-06,Normal
10.70.189.152,1,3941.0,18.0,6.37287362617439e-07,Normal
10.75.201.206,1,4080.0,14.0,2.0054461229652675e-07,Normal
10.84.188.36,1,3990.0,12.0,1.4996268740241983e-07,Normal
10.86.51.192,1,3776.0,11.0,1.601269403727456e-07,Normal
10.90.248.208,1,4045.0,14.0,2.0032194419950656e-07,Normal
10.97.26.56,1,4151.0,22.0,6.235461491705342e-07,Normal
100.0.220.153,1,3095.0,23.0,2.7486889428603953e-06,Normal
100.1.107.177,1,3894.0,13.0,1.9479031468417968e-07,Normal
100.11.76.209,1,3404.0,12.0,1.644919945332519e-07,Normal
100.12.82.234,1,2801.0,7.0,4.549051654084351e-06,Anomaly
100.135.91.131,1,3022.0,17.0,7.300065582495712e-07,Normal
100.137.247.235,1,4059.0,5.0,3.249922229370197e-07,Normal
100.139.158.98,1,2805.0,20.0,3.589382032070391e-07,Normal
100.151.116.27,1,3942.0,17.0,5.530714736906138e-07,Normal
100.152.68.184,1,4188.0,12.0,1.628012551175228e-07,Normal
100.157.201.205,1,4100.0,1.0,1.959089661295602e-07,Normal
100.159.241.239,1,3293.0,5.0,3.7319819335234404e-07,Normal
100.160.163.176,1,4289.0,13.0,2.2050493098929813e-07,Normal
100.168.183.161,1,3914.0,20.0,2.5782240858660617e-07,Normal
100.17.164.46,1,4105.0,22.0,5.826847016038912e-07,Normal
100.176.229.104,1,4050.0,9.0,4.054683712553208e-07,Normal
100.178.204.46,1,4038.0,19.0,2.495051623294158e-07,Normal
100.180.145.182,1,4065.0,21.0,1.7712182982791343e-07,Normal
100.188.98.246,1,5858.0,3.0,8.213481823602492e-07,Normal
100.20.93.0,1,3757.0,2.0,2.075314165461026e-07,Normal
100.200.154.41,1,3465.0,13.0,2.073558078044914e-07,Normal
100.213.143.238,1,3454.0,21.0,1.4875351091479225e-07,Normal
100.226.191.168,2,13550.0,19.5,1.8260087281518077e-05,Anomaly
100.23.203.19,1,3915.0,18.0,6.331122648032988e-07,Normal
100.236.74.33,1,2803.0,10.0,3.4487678405289544e-07,Normal
100.251.198.66,1,4109.0,19.0,2.534167782480106e-07,Normal
100.29.57.59,1,3515.0,21.0,1.4767599924851724e-07,Normal
100.38.231.221,1,4027.0,22.0,5.176034589501367e-07,Normal
100.40.182.216,1,2808.0,13.0,3.086866129120807e-07,Normal
100.45.176.128,1,4257.0,9.0,4.2470792364806346e-07,Normal
100.45.50.44,1,2779.0,15.0,1.6053525540691217e-07,Normal
100.53.161.19,1,3482.0,1.0,1.6410486670205946e-07,Normal
100.58.131.54,1,3387.0,13.0,2.1415664436182938e-07,Normal
100.60.42.54,1,2787.0,18.0,6.107109970059337e-07,Normal
1008:4560:4826:3fc0:37f0:352f:b323:3fa9,1,5094.0,4.0,1.9770282129976e-06,Normal
101.109.136.79,1,2806.0,10.0,3.442262673939838e-07,Normal
101.109.221.64,1,4070.0,23.0,2.5935223449847715e-06,Normal
101.109.78.153,1,3443.0,22.0,2.0160555871272129e-07,Normal
101.110.9.143,1,3434.0,0.0,6.258900695062786e-07,Normal
101.114.53.149,1,4021.0,18.0,6.510577021244106e-07,Normal
101.117.140.98,1,2738.0,10.0,3.5917464346947364e-07,Normal
101.124.49.140,1,2789.0,14.0,4.0086248925177957e-07,Normal
101.139.247.72,1,5073.0,21.0,4.1405074351634713e-07,Normal
101.14.228.53,1,4148.0,21.0,1.8771926473536205e-07,Normal
101.147.71.85,1,4093.0,22.0,5.722964333494829e-07,Normal
101.150.250.207,1,6430.0,12.0,9.265552240053332e-07,Normal
101.150.76.44,1,4045.0,12.0,1.5262797353082791e-07,Normal
101.16.15.153,1,4095.0,20.0,2.683903148307835e-07,Normal
101.162.34.59,1,4074.0,22.0,5.561631382642964e-07,Normal
101.166.165.22,1,4069.0,19.0,2.510445794015987e-07,Normal
101.177.227.91,1,4164.0,21.0,1.899365117751784e-07,Normal
101.178.162.216,1,4187.0,20.0,2.766505510959238e-07,Normal
101.185.208.176,1,3449.0,17.0,6.220123951804074e-07,Normal
101.199.161.14,1,3475.0,1.0,1.6439910994949904e-07,Normal
101.2.203.206,1,3985.0,20.0,2.610703766165854e-07,Normal
101.203.242.11,1,4065.0,20.0,2.661274858376335e-07,Normal
101.206.165.120,1,3919.0,13.0,1.9537285058885333e-07,Normal
101.213.202.19,1,4263.0,22.0,7.308812889982766e-07,Normal
101.217.125.143,1,4082.0,12.0,1.5481751576943217e-07,Normal
101.219.117.243,1,4078.0,20.0,2.6705588247119067e-07,Normal
101.22.123.61,1,5291.0,17.0,6.684142715390531e-07,Normal
101.22.61.243,1,4196.0,17.0,5.409395621366084e-07,Normal
101.221.48.155,1,4375.0,2.0,1.792616051019435e-07,Normal
101.223.61.88,1,3727.0,20.0,2.549231411377878e-07,Normal
101.231.252.136,1,4074.0,17.0,5.447698646594309e-07,Normal
101.237.60.94,1,4105.0,23.0,2.5920381747230097e-06,Normal
101.24.64.181,1,2782.0,16.0,3.0351408315878864e-07,Normal
101.249.24.244,1,4072.0,14.0,2.0046897792951486e-07,Normal
101.249.63.223,1,4077.0,16.0,3.6247217727051506e-07,Normal
101.46.172.96,1,2883.0,6.0,6.202483715529116e-07,Normal
101.52.162.90,1,4077.0,15.0,1.4797052046194602e-07,Normal
101.53.124.248,1,2875.0,17.0,7.775728446468534e-07,Normal
101.6.52.82,1,2354.0,23.0,3.036618002286714e-06,Anomaly
101.6.68.70,1,7113.0,2.0,1.861528286847726e-06,Normal
101.74.194.184,1,4092.0,21.0,1.8040573154347138e-07,Normal
101.78.158.241,1,6574.0,16.0,1.6530349554739123e-06,Normal
101.80.17.2,1,3456.0,13.0,2.0807315684143046e-07,Normal
101.83.238.206,1,3446.0,9.0,4.0647827550487374e-07,Normal
101.84.167.105,1,3467.0,2.0,2.7325391122364146e-07,Normal
101.97.33.81,1,2760.0,12.0,2.714397967868849e-07,Normal
102.0.62.18,1,4076.0,12.0,1.544453841751094e-07,Normal
102.0.82.48,1,4114.0,16.0,3.703208548365167e-07,Normal
102.105.204.161,1,4025.0,16.0,3.519679277848336e-07,Normal
102.105.36.68,1,3414.0,22.0,1.9391965675846467e-07,Normal
102.107.194.28,1,2804.0,20.0,3.5920489137368097e-07,Normal
102.112.23.246,1,5126.0,20.0,4.7230188528757766e-07,Normal
102.112.46.117,1,3949.0,18.0,6.385844685076171e-07,Normal
102.114.55.196,1,3441.0,11.0,1.697986835353344e-07,Normal
102.13.122.74,1,2782.0,13.0,3.1477974441798227e-07,Normal
102.130.167.17,1,4084.0,18.0,6.629749724833221e-07,Normal
102.132.184.11,1,3346.0,22.0,1.7884339091820346e-07,Normal
102.132.209.6,1,3949.0,17.0,5.525663655385336e-07,Normal
102.137.1.105,2,4257.0,16.0,8.829250646137852e-06,Anomaly
102.137.93.61,1,3436.0,14.0,2.4671641968038854e-07,Normal
102.145.201.152,1,4075.0,20.0,2.668777177982749e-07,Normal
102.146.223.158,1,4040.0,14.0,2.0028313526860474e-07,Normal
102.15.125.132,1,2804.0,18.0,6.087236115443024e-07,Normal
102.153.158.50,1,2812.0,0.0,6.097496257585355e-07,Normal
102.153.24.242,1,3892.0,8.0,2.6958424781695053e-07,Normal
102.154.169.142,1,6790.0,13.0,1.2028119131461137e-06,Normal
102.154.230.200,1,3421.0,12.0,1.6295038348789624e-07,Normal
102.161.248.127,1,3756.0,18.0,6.112950466355715e-07,Normal
102.163.7.170,1,5246.0,0.0,1.2408889009357108e-06,Normal
102.170.61.108,1,6116.0,12.0,7.517094455723493e-07,Normal
102.170.94.82,1,2359.0,11.0,3.7705624902769794e-07,Normal
102.172.41.214,1,3398.0,12.0,1.6503798248770912e-07,Normal
102.189.11.150,1,4093.0,11.0,1.745633766750947e-07,Normal
102.196.52.147,1,3422.0,17.0,6.274655159610274e-07,Normal
102.203.85.140,1,3576.0,19.0,2.521712407218827e-07,Normal
102.205.121.174,1,2783.0,16.0,3.0339693213474755e-07,Normal
102.207.159.49,1,3511.0,13.0,2.0400329384476042e-07,Normal
102.212.71.38,2,6797.0,20.0,9.713956666082278e-06,Anomaly
102.22.26.118,1,2784.0,19.0,3.709342084567311e-07,Normal
102.220.3.24,1,4048.0,21.0,1.7516800589688403e-07,Normal
102.226.128.118,1,5159.0,2.0,3.6107013877119995e-07,Normal
102.235.36.252,1,3286.0,23.0,2.699972948206492e-06,Normal
102.246.141.201,1,4078.0,8.0,2.7167298161673444e-07,Normal
102.255.8.45,1,7292.0,13.0,1.5683370189914765e-06,Normal
102.31.253.236,1,2779.0,21.0,2.1915689909829477e-07,Normal
102.37.100.108,1,3433.0,18.0,5.858591325777185e-07,Normal
102.39.251.176,1,3199.0,10.0,2.7876422381174726e-07,Normal
102.47.176.34,1,3994.0,9.0,4.019730476197051e-07,Normal
102.53.223.179,1,2781.0,18.0,6.113439206961906e-07,Normal
102.6.110.144,1,4052.0,15.0,1.4409162944385823e-07,Normal
102.62.109.171,1,4074.0,13.0,2.0210049663967056e-07,Normal
102.63.98.243,1,3520.0,13.0,2.0335572746855666e-07,Normal
102.75.111.191,1,3443.0,0.0,6.268470052495521e-07,Normal
102.78.195.100,1,3413.0,17.0,6.293747809499216e-07,Normal
102.80.95.109,2,6811.0,11.5,2.520197661555581e-06,Normal
102.83.100.122,1,4099.0,12.0,1.5592621016463682e-07,Normal
102.85.179.79,1,3140.0,22.0,1.5889721977895037e-07,Normal
102.89.75.103,1,3911.0,12.0,1.4735380888313786e-07,Normal
102.92.220.101,1,3359.0,16.0,2.7780051936587354e-07,Normal
102.94.188.121,1,4076.0,0.0,7.476626564319978e-07,Normal
102.95.187.26,1,2900.0,0.0,6.060329859600182e-07,Normal
102.98.46.27,1,4158.0,23.0,2.590362651357053e-06,Normal
1025:8067:54d6:5ac9:62d4:b22a:4b85:1121,1,5097.0,15.0,4.3910006306622683e-07,Normal
1026:58dd:d949:e8f5:5268:9ece:ad06:6b18,1,5908.0,19.0,7.348396879371517e-07,Normal
1026:66dc:e25b:5c8:d10c:4c03:5bd7:1917,1,2853.0,14.0,3.807964827512807e-07,Normal
103.0.205.249,1,4073.0,14.0,2.0046605663449084e-07,Normal
103.100.91.16,1,4063.0,12.0,1.5365354592361147e-07,Normal
103.103.235.121,1,4088.0,13.0,2.0296664190692221e-07,Normal
103.107.68.88,1,5376.0,16.0,8.419534468073371e-07,Normal
103.113.163.47,1,3388.0,23.0,2.677620421820444e-06,Normal
103.12.5.244,1,4073.0,11.0,1.7299180854477444e-07,Normal
103.120.90.43,1,2805.0,16.0,3.0087050624568726e-07,Normal
103.126.104.21,1,4064.0,12.0,1.537256318485437e-07,Normal
103.131.35.123,1,3881.0,11.0,1.623717742204217e-07,Normal
103.132.1.94,62,16152.274193548386,14.548387096774194,6.826504761493669e-05,Anomaly
103.143.178.224,1,2806.0,18.0,6.085085283869127e-07,Normal
103.158.248.30,1,2879.0,5.0,4.810565248924896e-07,Normal
103.16.166.102,1,2934.0,1.0,2.317306587446298e-07,Normal
103.161.3.19,1,4094.0,5.0,3.2747034125650034e-07,Normal
103.171.243.113,1,4272.0,21.0,2.065199475382742e-07,Normal
103.18.153.37,1,2356.0,14.0,5.646344300447071e-07,Normal
103.180.204.97,1,3406.0,17.0,6.308512082971666e-07,Normal
103.190.42.39,1,6614.0,12.0,1.0391937096139035e-06,Normal
103.2.168.132,1,694.0,21.0,1.1171131403616328e-06,Normal
103.20.57.131,1,4086.0,9.0,4.080543623581479e-07,Normal
103.202.73.208,1,909.0,3.0,3.9746048764110595e-06,Anomaly
103.203.137.46,1,4047.0,13.0,2.0051669360721017e-07,Normal
103.203.151.24,1,3914.0,20.0,2.5782240858660617e-07,Normal
103.208.72.173,1,907.0,5.0,1.78853615411398e-06,Normal
103.211.187.47,1,3448.0,23.0,2.666046666629909e-06,Normal
103.214.197.146,1,2776.0,14.0,4.050665935483711e-07,Normal
103.22.13.55,1,3995.0,11.0,1.6765317867796566e-07,Normal
103.220.3.83,1,4098.0,0.0,7.537149184835481e-07,Normal
103.224.126.110,1,5468.0,14.0,4.6212040049673197e-07,Normal
103.231.136.146,1,3936.0,20.0,2.587017503902439e-07,Normal
103.234.30.28,1,3433.0,16.0,2.805472625080752e-07,Normal
103.234.78.101,1,6528.0,17.0,1.1615169236783113e-06,Normal
103.237.81.97,1,2783.0,15.0,1.5983802151646e-07,Normal
103.239.203.67,1,3901.0,17.0,5.566371553119708e-07,Normal
103.24.109.31,1,3889.0,17.0,5.57560179214142e-07,Normal
103.25.93.13,1,5255.0,17.0,6.596208339008104e-07,Normal
103.29.199.204,1,3441.0,0.0,6.26633244030511e-07,Normal
103.3.89.42,1,5374.0,18.0,1.1162540729249514e-06,Normal
103.40.107.62,1,4210.0,12.0,1.6478636221241436e-07,Normal
103.40.245.7,1,4096.0,19.0,2.5260224005603075e-07,Normal
103.44.238.93,1,4128.0,13.0,2.057246879739502e-07,Normal
103.5.106.2,1,2921.0,17.0,7.621078996134125e-07,Normal
103.55.1.102,1,3449.0,0.0,6.274981104865494e-07,Normal
103.63.184.49,1,4091.0,9.0,4.084556599290787e-07,Normal
103.64.42.162,1,6144.0,13.0,8.146619346288905e-07,Normal
103.67.27.145,1,2329.0,23.0,3.0489074565426488e-06,Anomaly
103.78.147.151,1,4021.0,17.0,5.476408463388648e-07,Normal
103.83.7.172,1,3444.0,20.0,2.6585754708707093e-07,Normal
103.84.67.65,1,3063.0,16.0,2.8050456684063033e-07,Normal
103.85.186.72,1,4084.0,22.0,5.64620536969276e-07,Normal
103.86.168.212,1,3401.0,11.0,1.7267106172221527e-07,Normal
103.91.185.213,1,3147.0,10.0,2.85393117816562e-07,Normal
103.92.15.74,1,903.0,23.0,3.994588010815476e-06,Anomaly
103.94.182.245,1,3429.0,1.0,1.6670376410579547e-07,Normal
104.1.63.93,1,3560.0,21.0,1.4742580451275747e-07,Normal
104.104.190.189,1,2950.0,6.0,5.928035225186467e-07,Normal
104.104.197.113,1,2806.0,14.0,3.95460539899738e-07,Normal
104.112.46.203,1,3920.0,12.0,1.4755832975964438e-07,Normal
104.114.134.165,1,4077.0,20.0,2.669958261444907e-07,Normal
104.120.196.226,1,3485.0,13.0,2.0578785571795065e-07,Normal
104.132.146.103,1,3417.0,21.0,1.4983987634816204e-07,Normal
104.140.15.81,1,3430.0,18.0,5.857500765781993e-07,Normal
104.142.227.63,1,3413.0,21.0,1.499921897036267e-07,Normal
104.148.18.128,1,2969.0,18.0,5.934437257781343e-07,Normal
104.151.84.110,1,3915.0,2.0,1.8585615858877907e-07,Normal
104.160.208.29,1,4265.0,14.0,2.069639512797193e-07,Normal
104.161.0.22,1,4295.0,15.0,1.8803176980772012e-07,Normal
104.163.234.109,1,5040.0,17.0,6.134333824509707e-07,Normal
104.170.88.25,1,3917.0,19.0,2.454839496509854e-07,Normal
104.179.36.59,1,4242.0,3.0,3.129019525188202e-07,Normal
104.203.100.229,1,4053.0,6.0,3.5345185440659994e-07,Normal
104.203.72.182,1,4077.0,21.0,1.7855938614477715e-07,Normal
104.205.168.164,1,3441.0,17.0,6.235404514929361e-07,Normal
104.208.141.28,1,4073.0,20.0,2.6670232433691555e-07,Normal
104.214.221.225,1,4148.0,17.0,5.420095468297512e-07,Normal
104.218.68.55,1,4247.0,3.0,3.122245861323161e-07,Normal
104.222.150.173,1,3964.0,14.0,2.0100586481932878e-07,Normal
104.224.150.91,1,4086.0,10.0,2.6068402846944093e-07,Normal
104.228.240.199,1,3559.0,21.0,1.4743269538784498e-07,Normal
104.229.116.229,1,3408.0,19.0,2.6528335218599275e-07,Normal
104.242.111.223,1,4397.0,20.0,3.0283989696696315e-07,Normal
104.30.223.71,1,5611.0,10.0,6.457669555990288e-07,Normal
104.30.40.94,1,4716.0,10.0,3.563679971147122e-07,Normal
104.46.76.94,1,3532.0,10.0,2.5096212075079315e-07,Normal
104.50.162.12,1,4044.0,10.0,2.5752849279299027e-07,Normal
104.52.26.210,1,3413.0,19.0,2.6480541749031074e-07,Normal
104.6.53.197,1,5504.0,22.0,2.6338160824098278e-06,Normal
104.63.20.255,1,4045.0,17.0,5.462650181879081e-07,Normal
104.63.78.3,1,4079.0,21.0,1.788002378739306e-07,Normal
104.66.114.216,1,4150.0,14.0,2.019566416657381e-07,Normal
104.67.159.240,1,5786.0,9.0,8.748988613339389e-07,Normal
104.75.117.5,1,5040.0,23.0,2.6564859985760672e-06,Normal
104.79.233.92,1,3390.0,16.0,2.787781886441748e-07,Normal
104.81.252.41,1,3419.0,17.0,6.281342029233489e-07,Normal
104.83.166.193,1,2954.0,14.0,3.5129907700092757e-07,Normal
104.88.241.226,1,4086.0,15.0,1.4935275395512508e-07,Normal
104.96.90.178,1,3391.0,16.0,2.7881524689346673e-07,Normal
1041:4799:f648:a4ea:56:a20e:fa78:49c0,1,3109.0,11.0,2.047301059862759e-07,Normal
1042:dbc2:b2bb:be5a:16d1:b38f:a0:1cae,1,4053.0,16.0,3.57540074497831e-07,Normal
104b:662d:b933:57bf:f94e:613b:68de:9e29,1,2999.0,17.0,7.370980489115839e-07,Normal
104d:34c1:e2c:ef94:3012:d7ee:ef1c:8e1a,1,3785.0,21.0,1.5329713653228238e-07,Normal
105.102.173.19,1,4138.0,21.0,1.8635180906177826e-07,Normal
105.112.240.157,1,4316.0,22.0,7.85382788571638e-07,Normal
105.12.64.72,2,5626.0,17.5,6.036185322810189e-06,Anomaly
105.120.138.44,1,2807.0,21.0,2.1410471897758612e-07,Normal
105.124.7.64,1,3449.0,14.0,2.4470481022789167e-07,Normal
105.124.97.166,1,3916.0,9.0,3.9832832182387146e-07,Normal
105.128.36.4,1,4924.0,19.0,3.806971059889831e-07,Normal
105.136.210.3,1,3438.0,1.0,1.662008322463998e-07,Normal
105.141.135.119,1,4499.0,14.0,2.276954927125205e-07,Normal
105.142.65.197,1,4074.0,23.0,2.593360422876295e-06,Normal
105.142.96.5,75,6033.453333333333,15.306666666666667,3.454156231308519e-05,Anomaly
105.146.132.199,1,3413.0,22.0,1.9365128556165513e-07,Normal
105.152.6.6,1,5106.0,14.0,3.465926005505825e-07,Normal
105.153.157.179,1,4863.0,22.0,1.4893280733895002e-06,Normal
105.157.148.86,1,4065.0,1.0,1.910580959537144e-07,Normal
105.170.153.76,1,4120.0,14.0,2.012161428065041e-07,Normal
105.170.183.15,1,4117.0,18.0,6.695925998045445e-07,Normal
105.173.187.191,1,3460.0,11.0,1.6855113123076834e-07,Normal
105.175.121.171,1,4120.0,11.0,1.768531981380618e-07,Normal
105.177.45.251,1,4082.0,17.0,5.443839873195227e-07,Normal
105.179.29.255,1,2804.0,20.0,3.5920489137368097e-07,Normal
105.181.12.56,1,2721.0,18.0,6.189235464197008e-07,Normal
105.193.10.84,1,4045.0,18.0,6.555104434842734e-07,Normal
105.193.66.211,1,5135.0,11.0,3.826147642460717e-07,Normal
105.198.206.90,1,2896.0,3.0,1.0197939781420675e-06,Normal
105.201.156.77,1,3938.0,18.0,6.368111431203243e-07,Normal
105.202.238.37,1,5389.0,23.0,2.7312074221281678e-06,Normal
105.205.20.173,1,3495.0,15.0,1.0028228907671032e-07,Normal
105.207.76.185,1,3449.0,21.0,1.4889093326733623e-07,Normal
105.208.128.209,1,4065.0,16.0,3.599887081725254e-07,Normal
105.210.135.29,1,3546.0,1.0,1.620818570067111e-07,Normal
105.27.147.72,1,4086.0,19.0,2.520265218165663e-07,Normal
105.3.49.16,1,4269.0,2.0,1.7333108830121202e-07,Normal
105.33.18.106,1,2783.0,0.0,6.114085640859146e-07,Normal
105.35.208.104,1,3212.0,7.0,4.400101798329705e-06,Anomaly
105.39.144.47,1,3871.0,16.0,3.249660930282578e-07,Normal
105.47.240.209,1,2925.0,21.0,1.9483777947934312e-07,Normal
105.5.254.146,1,5217.0,5.0,6.230618395447031e-07,Normal
105.60.9.175,1,2811.0,21.0,2.1339561447102527e-07,Normal
105.62.56.130,1,5183.0,14.0,3.6837992917860794e-07,Normal
105.64.186.148,1,4060.0,16.0,3.58964037490561e-07,Normal
105.75.190.90,1,3444.0,22.0,2.0190260885405047e-07,Normal
105.8.48.219,1,4575.0,22.0,1.0868426463291683e-06,Normal
105.80.141.108,1,3086.0,15.0,1.1858287955613733e-07,Normal
105.80.176.165,1,3428.0,12.0,1.6235020648045218e-07,Normal
105.85.234.136,1,4090.0,21.0,1.8014692195521966e-07,Normal
105.87.114.27,2,2782.5,5.5,5.093203267678866e-06,Anomaly
105.90.230.217,1,3301.0,7.0,4.3730126673177405e-06,Anomaly
105.91.128.236,1,3448.0,13.0,2.087067993913446e-07,Normal
105.92.14.250,1,3285.0,11.0,1.8305954478023157e-07,Normal
105.96.158.96,1,4042.0,19.0,2.4968301757710137e-07,Normal
105.96.16.6,1,6526.0,19.0,1.0684704316707366e-06,Normal
105.99.227.146,1,6583.0,1.0,1.4652127517110473e-06,Normal
105b:34f2:5ab0:762b:e56b:fe68:bfb7:64b1,1,3435.0,14.0,2.468856372576406e-07,Normal
106.0.72.121,1,3726.0,20.0,2.548865174735527e-07,Normal
