ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
62.36.64.102,4,9482.75,14.0,Anomaly,70,Unusually high request count.; High data transfer per request.
64.234.253.67,4,87870.75,15.25,Anomaly,70,Unusually high request count.; High data transfer per request.
66.170.211.253,79,6066.873417721519,13.50632911392405,Anomaly,70,Unusually high request count.; High data transfer per request.
69.78.8.254,65,6084.584615384615,14.646153846153846,Anomaly,70,Unusually high request count.; High data transfer per request.
7.113.8.157,103,6238.242718446602,14.0,Anomaly,70,Unusually high request count.; High data transfer per request.
7.197.100.227,94,6062.234042553191,13.638297872340425,Anomaly,70,Unusually high request count.; High data transfer per request.
77.177.18.160,4,8928.25,17.0,Anomaly,70,Unusually high request count.; High data transfer per request.
77.221.81.254,75,6002.546666666667,12.906666666666666,Anomaly,70,Unusually high request count.; High data transfer per request.
78.214.250.139,92,6179.184782608696,12.673913043478262,Anomaly,70,Unusually high request count.; High data transfer per request.
78.239.133.192,3,9628.333333333334,5.666666666666667,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
79.204.155.139,80,6205.2125,13.575,Anomaly,70,Unusually high request count.; High data transfer per request.
8.22.220.208,58,6418.551724137931,13.758620689655173,Anomaly,70,Unusually high request count.; High data transfer per request.
8.84.119.17,100,6067.13,13.49,Anomaly,70,Unusually high request count.; High data transfer per request.
82.212.151.84,3,5905.666666666667,6.0,Anomaly,70,Unusually high request count.; High data transfer per request.
83.209.73.10,81,6249.222222222223,14.271604938271604,Anomaly,70,Unusually high request count.; High data transfer per request.
86.248.156.68,84,6222.380952380952,15.833333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
87.205.246.237,4,19746.25,11.25,Anomaly,70,Unusually high request count.; High data transfer per request.
88.190.191.62,75,6147.96,15.786666666666667,Anomaly,70,Unusually high request count.; High data transfer per request.
88.40.53.243,106,6072.981132075472,13.424528301886792,Anomaly,70,Unusually high request count.; High data transfer per request.
89.236.176.154,66,6210.30303030303,13.848484848484848,Anomaly,70,Unusually high request count.; High data transfer per request.
89.240.61.108,72,6204.333333333333,14.847222222222221,Anomaly,70,Unusually high request count.; High data transfer per request.
89.4.78.220,2,14572.5,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
90.178.50.209,52,6299.807692307692,13.788461538461538,Anomaly,70,Unusually high request count.; High data transfer per request.
93.224.123.232,52,6324.557692307692,13.73076923076923,Anomaly,70,Unusually high request count.; High data transfer per request.
95.130.38.51,86,14112.96511627907,12.430232558139535,Anomaly,70,Unusually high request count.; High data transfer per request.
96.152.27.237,100,6097.79,13.41,Anomaly,70,Unusually high request count.; High data transfer per request.
98.197.20.168,103,6196.194174757282,14.330097087378642,Anomaly,70,Unusually high request count.; High data transfer per request.
98.93.18.87,3,28078.666666666668,19.666666666666668,Anomaly,70,Unusually high request count.; High data transfer per request.
bc9:db5a:642a:59c9:c52a:a066:3738:4a5,2,6253.5,1.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
