ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
fe90:641e:5643:a0c0:59f5:f317:f7eb:19db,7,2729.4285714285716,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
133.157.216.48,6,2997.8333333333335,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
13.130.250.125,8,2868.0,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
133.157.216.48,8,3170.875,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
6184:c147:4538:efee:d1f0:ff81:eda5:1465,4,2584.0,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
8969:efd3:4dfb:c31:dc92:2ebe:5660:e9ce,4,4076.75,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
6.174.174.121,8,2815.125,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
92.126.154.181,5,3101.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
23.159.246.188,6,3421.5,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
76.240.20.120,7,3226.1428571428573,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
222.2.129.147,5,3882.8,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
57.112.34.158,5,4136.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
128.3.125.57,4,3191.75,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
170.144.45.18,8,2938.25,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
874d:26b4:9a90:3a9a:1156:11a7:ee80:b41b,5,2826.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
3f65:b857:3d97:f83d:e997:4369:cea4:88d0,7,2764.4285714285716,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
21df:351f:6093:f38b:756a:ce46:dc03:69b7,6,2664.6666666666665,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
8f9:3eab:5c9:675d:c13f:c2a5:386a:92d8,6,3184.6666666666665,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
5ba1:fec8:6d2b:ba8e:f79:ff69:549e:2770,6,2586.3333333333335,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
145.53.0.212,7,2697.714285714286,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
114.22.116.127,5,3633.4,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
24.241.178.9,7,3601.714285714286,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
9e2e:2718:d42e:2340:9ad7:8f25:bdaf:9534,7,3428.4285714285716,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
131.65.63.238,5,2764.6,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
9939:ae21:293a:6f24:569d:b48e:6a74:1db0,5,2988.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
134.96.239.187,4,3263.75,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
134.108.81.165,5,3690.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
135.98.162.233,7,3205.1428571428573,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
66d4:1c1e:4743:4ef7:12a8:14c1:ed8e:9df1,5,3390.0,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
86.58.244.130,5,3697.2,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
da3b:4786:4114:bfdd:ac66:3101:4bb2:425c,5,2705.6,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
66.174.203.110,5,2740.4,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
186.74.68.221,5,3392.0,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
129.250.178.34,8,3859.375,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
182.69.164.217,7,2628.1428571428573,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
651c:5fdb:328d:da81:e016:fc61:298:4b42,8,3510.75,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
a3e3:34a9:b19e:dc47:6f8e:14a6:80dc:9f1,4,4056.25,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
63.118.177.184,5,3255.2,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
129.250.178.34,6,2242.6666666666665,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
143.192.219.104,4,4113.25,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
58.53.226.136,6,3075.5,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
eff5:28dd:ea7e:5fe7:200f:d974:5a85:88f5,7,2727.285714285714,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
159.168.200.38,6,3512.0,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
3f65:b857:3d97:f83d:e997:4369:cea4:88d0,5,2614.2,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
73.88.31.69,7,2701.1428571428573,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
ce64:fd9:fb3f:4258:a4ba:47c8:1012:2356,4,3019.5,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
b6c7:3f27:236f:72d7:59ed:68e5:801:ac1f,7,2828.714285714286,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
2adc:bca6:9943:ddda:3f8e:c023:4bc1:9dc4,8,2828.375,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
4a76:ad87:7c5d:92b3:8a31:7a97:41e5:d859,7,2757.8571428571427,23.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
